Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Fields of Study,Keywords,MeSH Terms,Chemicals,DOI
001-599-946-116-937,A Note on the Effect of COVID-19 and Vaccine Rollout on School Enrollment in the US.,2022-01-05,2022,journal article,"Interchange (Toronto, Ont. : 1984)",08264805; 15731790,Springer Netherlands,Canada,Kolawole Ogundari,"The COVID-19 pandemic outbreaks forced families to decide the safest and most effective learning environments for their children because of the virus's threat to health and life. Hence, because of the nationwide school closure, policymakers have raised concerns about the missing children cases-those who have not enrolled in school at all because of the pandemic. The present study investigates whether there is a difference in the school enrollment during the pre-COVID-19 period, COVID-19 period, and vaccine rollout period. We employed the U.S. Current Population Survey (CPS), covering January 2020 to May 2021, while we use both the logistic and multinomial regression models for the empirical analysis. Our results showed that school enrollment is lower during the COVID-19 pandemic compared to the Pre-COVID-19 period. Other results showed that school enrollment is higher since vaccine rollout compared to the COVID-19 period. A possible explanation for this could be that families consider the vaccine the safe path to enrolling their children in school. We also found that school enrollment varies significantly across race and ethnic groups.",Pandemic; Coronavirus disease 2019 (COVID-19); Multinomial logistic regression; Demography; Medicine; Population; Logistic regression; Closure (psychology); Ethnic group; Outbreak; Environmental health; Political science; Virology; Disease; Sociology; Machine learning; Computer science; Internal medicine; Pathology; Law; Infectious disease (medical specialty),COVID-19; College; Enrollment; High School; USA,,,10.1007/s10780-021-09453-1
001-684-990-813-63X,Suggested Wearable Device Design to Prevent Missing Children and Child Abduction,2018-04-30,2018,journal article,Journal of Basic Design & Art,15988635,KSBDA (Korea Society of Basic Design & Art),,Jung， Eui-Chul; Cho， Ji Hee; Kicheol Pak,,Wearable computer; Physical medicine and rehabilitation,,,,10.47294/ksbda.19.2.33
001-737-831-222-724,SMARTBAND TRACKER UNTUK ANAK USIA DIBAWAH 6 TAHUN MENGGUNAKAN WEMOS D1 DENGAN MONITORING MELALUI SMARTPHONE,2025-11-28,2025,journal article,Zenodo (CERN European Organization for Nuclear Research),,,,Dhea Syafitri; null Aryanti; Muhammad Agung Zakuan,"The increasing number of cases of missing children or accidents outside parental supervision has become an impetus for utilizing technological advances in creating effective and efficient monitoring tools. Along with technological developments, especially in the field of the Internet of Things (IoT), a number of smart devices have been created to assist in daily activities. For this reason, a smart device that can monitor child supervision is the Smartband Tracker. By utilizing GPS technology and network connectivity, this tool can monitor the child's location directly through the blynk application on a smartphone. This tool works by, if the red LED flashes it means the GPS has obtained a coordinate point where the results can be seen in the blynk application which can display the location point of the child's whereabouts and if we press the ON button on the blynk application, the buzzer on the Smartband will sound. The method used in creating this tool is a literature study method, namely searching for references from books, the internet and other sources that support data collection. In this study, tests were conducted at 5 location points. The results of the study showed that speed variations were greatly influenced by the duration and intensity of movement, not only by distance traveled. High speeds were recorded at short distances during rapid movement, from point 1 to point 6, while low speeds occurred at long distances during slow movement, from point 1 to point 5. The difference between this study and previous research lies in the buzzer feature. This research tool has a buzzer feature that can be activated via the Blynk application on a smartphone, where the buzzer will emit a sound when activated.",Buzzer; Point (geometry); Global Positioning System; Computer science; End point; Duration (music); The Internet; Internet of Things; Field (mathematics); Simulation; Real-time computing; Engineering; Data collection; Artificial intelligence; Psychology; Motion sensors; Video recording,,,,10.5281/zenodo.17761316
002-024-761-077-942,Dialogues on the notion of victim and identity construction,,2013,journal article,"Interface - Comunicação, Saúde, Educação",14143283,FapUNIFESP (SciELO),Brazil,Letícia Rodrigues de Azevedo,"Este ensaio surge da necessidade de se problematizar a nocao de vitima perante a emergencia do uso deste termo nas ultimas decadas, como identificador de sujeitos e experiencias. Em plena realizacao de um projeto de pesquisa que trata da vitimizacao pelo sequestro relâmpago e suas repercussoes a saude das vitimas, nos deparamos com a necessidade de discutir o uso deste termo e outras questoes imbricadas: ""seria esse um atributo identitario vitalicio?"", ""qual o peso que a vitimizacao tem na vida das pessoas?"", entre outras. Nesse tocante, propomos este texto para problematizar a nocao de vitima, discutindo-a como um traco identitario, na intencao de estimular possiveis reflexoes sobre o tema.",Sociology; Humanities; Identity (social science); Social psychology,Victim; Identity; Interaction; Narrative,,,10.1590/s1414-32832013000300002
002-085-883-191-064,10-åring spårlöst borta : En studie om hur försvunna barn konstrueras i svensk press,2009-01-01,2009,,,,,,Erika Svensson; Jessica Göransson,The purpose of our study was to examine how missing children are portrayed in media. We wanted to see if there are any recurring story patterns and characters in the texts. We also wanted to examin ...,Art; Visual arts; Performance art,,,,
002-358-852-588-131,"Dataset and code for paper ""Spatiotemporal distribution of human trafficking in China and predicting the locations of missing persons""",2020-01-01,2020,dataset,Figshare,,,,Yao Yao,"The file (baby_find_home_data.txt) is data obtained from a Chinese public welfare website (https://baobeihuijia.com/) looking for missing children.<br>The file (code_v2.zip) is a code file implemented by an under review paper (""Spatiotemporal distribution of human trafficking in China and predicting the locations of missing persons"").<br>This project uses two C ++ open source libraries (Alglib and CJsonObject). This project complies with the GPL license.<br>Alglib (https://www.alglib.net/) is an open source numerical analysis and data processing library for personal and academic use, developed for the ALGLIB Project Company. Detailed implementation of random forest algorithm used in this project. This library complies with the GPL license.<br>CJsonObject (https://github.com/Bwar/CJsonObject) is a C ++ version of the JSON open source library developed by Bwar based on CJSON. Used in this project for data reading and formatting output. This library complies with the MIT license.",Code (set theory); Distribution (mathematics); China; Missing data; Geography; Cartography; Computer science; Statistics; Mathematics; Archaeology; Mathematical analysis; Programming language; Set (abstract data type),,,,10.6084/m9.figshare.11955498.v6
002-557-575-745-822,Soter: Smart Bracelets for Children’s Safety,2015-07-10,2015,journal article,ACM Transactions on Intelligent Systems and Technology,21576904; 21576912,Association for Computing Machinery (ACM),United States,Yanfang Ye; Tao Li; Haiyin Shen,"In recent years, crimes against children and cases of missing children have increased at a high rate. Therefore, there is an urgent need for safety support systems to prevent crimes against children or for antiloss, especially when parents are not with their children, such as to and from school. However, existing children’s tracking systems are not smart enough to provide the safety supports, as they simply locate the children’s positions without offering any notification to parents that their children may be in danger. In addition, there is limited research on children’s tracking and their antiloss. In this article, based on location histories, we introduce novel notions of children’s life patterns that capture their general lifestyles and regularities, and develop an intelligent data mining framework to learn the safe regions and safe routes of children on the cloud side. When the children may be in danger, their parents will receive automatic notifications from the cloud. We also propose an effective energy-efficient positioning scheme that leverages the location tracking accuracy of the children while keeping energy overhead low by using a hybrid global positioning system and a global system for mobile communications. To the best of our knowledge, this is the first attempt in applying data mining techniques to applications designed for children’s safety. Our proposed techniques have been incorporated into Soter, a children’s safeguard system that is used to provide cloud service for smart bracelets produced by Qihoo. The case studies on real smart bracelet users of Qihoo demonstrate the effectiveness of our proposed methods and Soter for children’s safety.",Overhead (business); Tracking system; Scheme (programming language); Tracking (education); Support system; Computer security; Computer science; GSM; Global Positioning System; Cloud computing,,,,10.1145/2700483
002-561-808-965-538,Vitamin A supplementation programmes are missing children from scheduled castes and scheduled tribes. New evidence from India,2015-08-12,2015,journal article,BMC Nutrition,20550928,Springer Science and Business Media LLC,,Victor M. Aguayo; Nina Badgaiyan; Jee H. Rah,"Surveys have indicated that 62 % of preschool-age Indian children suffer from sub-clinical vitamin A deficiency (VAD), with a threefold higher prevalence of severe forms of VAD among children from schedule castes (SC) or schedule tribes (ST). The objective of this analysis is to assess whether India’s national vitamin A supplementation (VAS) programme is reaching the districts with higher concentration of SC/ST children in the seven states with the largest burden of under-five mortality (74 % of India’s under-five deaths). Disaggregated analyses of trends in and outcome VAS coverage and full VAS coverage were conducted between 2006 and 2011 by state and SC/ST concentration quintile using three data sources—India’s national VAS programme, Office of the Registrar General and Census Commissioner, and District-Level Household Survey—to compute exposure (SC and/or ST concentration) and outcome (VAS coverage and full VAS coverage) were conducted. Between 2006 and 2011, all SC/ST concentration quintiles reported significant increases in full VAS coverage (two doses/child/year). The mean full VAS coverage over the 6-year period was positively correlated with the SC/ST concentration quintile: the district quintile with the highest concentration of SC/ST households reported the highest full VAS coverage (62.5 %), while the district quintile with the lowest concentration of SC/ST households reported the lowest coverage (47.9 %). The estimated number of children not fully covered by the VAS programme decreased by 39.0 % among children from SC/ST households and by 51.7 % among children from non-SC/ST households. The mean annual number of SC/ST children not fully covered was similar across SC/ST concentration quintiles (1.1 to 1.3 million). Indian states have achieved significant progress in expanding the coverage of the VAS programme. However, a large proportion of children are not benefitting from this child survival intervention, particularly among SC/ST children. These children are potentially among the most vulnerable to VAD and its consequences. India’s national VAS programme needs to be strengthened in sub-district-level units (i.e. blocks and villages) with higher concentrations of SC/ST children, with particular emphasis on SC children.",Public health; Demography; Pediatrics; Child survival; Vitamin; Registrar general; Medicine,,,,10.1186/s40795-015-0010-1
002-652-280-651-349,Secondary Victimization in Missing Children Events,2016-12-20,2016,book chapter,Handbook of Missing Persons,,Springer International Publishing,,Peggy S. Plass,"Children go missing for many reasons. However, regardless of the characteristics of the child who is missing or of the type of event that precipitated his disappearance, children who are missing are at risk for other forms of victimization, outside the mere experience of being missing. This chapter will provide a theoretical framework for thinking about these secondary victimizations along with an examination of what we know about the incidence of these types of victimization. Two key questions will be examined—to what extent does the experience of being missing increase a child’s risk for other victimization? To what extent does experiencing a secondary victimization affect the overall impact of being a missing child?",Developmental psychology; Psychology; Affect (psychology),,,,10.1007/978-3-319-40199-7_5
003-135-321-498-936,Child GAN: Face Aging and Rejuvenation to Find Missing Children,2024-04-04,2024,journal article,International Journal of Innovative Science and Research Technology (IJISRT),24562165,International Journal of Innovative Science and Research Technology,,Y.V. Ragavendra Reddy; P. Kalaiarasi; M. Tejeswara Reddy; K. Sri Charan Reddy; V. Ajay Raj,"<jats:p>The Child GAN project seeks in order to resolve the crucial problem of missing child location by utilizing state-of-the art machine learning methods, particularly Generative Adversarial Networks (GANs). The project's main goal is to create a novel method that uses face aging and rejuvenation algorithms to create age- progressed images of missing children. Our GAN-based model learns complex patterns of facial aging and rejuvenation by utilizing large datasets of facial images taken at different ages. Over time, the model can produce realistic representations of how missing children might age or look rejuvenated by training on pairs of images that show individuals at different stages of life. The age-progressed images that are produced are extremely useful resources for communities, non-profits, and law enforcement agencies that are looking for missing children. Through the use of various media channels, such as social media and traditional media, we hope to increase the visibility of these images of missing children and expedite their prompt recovery.</jats:p>",Rejuvenation; Face (sociological concept); Psychology; Developmental psychology; Gerontology; Sociology; Medicine; Social science,,,,10.38124/ijisrt/ijisrt24mar1378
